81,"Lc1_67-68_NelloSiritoSantoBenediceE_RedimeDio.pdf","Nello Spirito Santo benedice Dio che ci visita e redime.",1999,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDICTUS","http://NA","Lc","1,67-68","Benedictus"
82,"Lc1_69-71_ConoscereChiCiSalvaE_DaCheCosaSiamoSalvati.pdf","Conoscere chi ci salva e da che cosa siamo salvati",1999,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDICTUS","http://NA","Lc","1,69-71","Benedictus"
83,"Lc1_72-75_VivereL_AlleanzaOggiPresentiAlPresenteInVitaSantaE_Libera.pdf","Vivere l'alleanza, oggi, presenti al presente in vita santa e libera",1999,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDICTUS","http://NA","Lc","1,72-75","Benedictus"
84,"Lc1_76_ComeGiovanniBattistaEssereProfetiDellAltissimoOggi.pdf","Come Giovanni Battista, essere proteti dell'Altissimo, oggi",1999,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDICTUS","http://NA","Lc","1,76","Benedictus"
85,"Lc1_77-78A_LeViscereDiMisericordiaE_IlNostroFareMisericordia.pdf","Le viscere di misericordia, e il nostro fare misericordia",1999,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDICTUS","http://NA","Lc","1,77-78A","Benedictus"
86,"Lc1_78-79TenebreSoleE_PaceNellaNostraVita.docx","Tenebre, sole e pace nella nostra vita",1999,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDICTUS","http://NA","Lc","1,78b-79","Benedictus"
87,"Lc10_21-22_IoTiLodoPadre.docx","Io ti lodo, o Padre","N/A","Tutti","altre_lectio","http://NA","Lc","10,21-22","N/A"
88,"Lc12_34__6_45_IlTesoroDelCuoreE_IlCuoreComeTesoro.docx","Il tesoro del cuore e il cuore come tesoro",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","Lc","6,5","Ritorniamo al cuore"
89,"Lc12_34__6_45_IlTesoroDelCuoreE_IlCuoreComeTesoro.docx","Il tesoro del cuore e il cuore come tesoro",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","Lc","12,34","Ritorniamo al cuore"
90,"Lc12-32_NonTemerePiccoloGreggePiaciutoPadreDarviRegno.docx","Non temere, piccolo gregge, perché è piaciuto al Padre vostro darvi il suo Regno","N/A","Tutti","altre_lectio","http://NA","Lc","12,32","N/A"
91,"Lc2_19__2_51_ConMariaDimorareMeditareGesu.docx","Con Maria: dimorare e meditare nel cuore l'evento-parola Gesù","N/A","Tutti","Dimorare","http://NA","Lc","2,19","Dimorare"
92,"Lc2_19__2_51_ConMariaDimorareMeditareGesu.docx","Con Maria: dimorare e meditare nel cuore l'evento-parola Gesù","N/A","Tutti","Maria","http://NA","Lc","2,19","Maria"
93,"Lc2_19__2_51_ConMariaDimorareMeditareGesu.docx","Con Maria: dimorare e meditare nel cuore l'evento-parola Gesù","N/A","Tutti","Dimorare","http://NA","Lc","2,51","Dimorare"
94,"Lc2_19__2_51_ConMariaDimorareMeditareGesu.docx","Con Maria: dimorare e meditare nel cuore l'evento-parola Gesù","N/A","Tutti","Maria","http://NA","Lc","2,51","Maria"
95,"Lc2_41-52_PercheMiCercavateNonSapeteDevoEssereNelleCoseDelPadre.docx","Perché mi cercavate? Non sapete che io devo essere nelle cose del Padre mio?",2008,"Tutti","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Lc","2,41-52","Gesù il grande provocatore"
